UsageId,AccountId,SubscriptionId,Month,Seats,MAU,MAURatio,Sessions,FeatureAdoptionRate
U0000842,A00200,SUB00078,2026-01-01,50,16,0.333,412,0.78
U0000843,A00200,SUB00078,2026-02-01,50,14,0.283,138,0.55
U0000844,A00200,SUB00078,2026-03-01,50,18,0.374,379,0.85
U0000845,A00200,SUB00078,2026-04-01,50,14,0.3,184,0.8
U0000846,A00200,SUB00078,2026-05-01,50,15,0.317,390,0.88
U0000847,A00202,SUB00079,2025-06-01,20,7,0.375,181,0.39
U0000848,A00202,SUB00079,2025-07-01,20,6,0.35,75,0.83
U0000849,A00202,SUB00079,2025-08-01,20,6,0.325,67,0.53
U0000850,A00202,SUB00079,2025-09-01,20,5,0.3,124,0.33
U0000851,A00202,SUB00079,2025-10-01,20,5,0.275,169,0.65
U0000852,A00202,SUB00079,2025-11-01,20,4,0.25,86,0.52
U0000853,A00202,SUB00079,2025-12-01,20,4,0.225,134,0.48
U0000854,A00202,SUB00079,2026-01-01,20,3,0.2,87,0.76
U0000855,A00202,SUB00079,2026-02-01,20,3,0.175,91,0.68
U0000856,A00202,SUB00079,2026-03-01,20,2,0.15,43,0.75
U0000857,A00202,SUB00079,2026-04-01,20,2,0.125,18,0.72
U0000858,A00202,SUB00079,2026-05-01,20,1,0.1,13,0.29
U0000859,A00205,SUB00080,2025-06-01,10,6,0.601,162,0.9
U0000860,A00205,SUB00080,2025-07-01,10,5,0.576,57,0.69
U0000861,A00205,SUB00080,2025-08-01,10,5,0.551,57,0.43
U0000862,A00205,SUB00080,2025-09-01,10,5,0.526,46,0.81
U0000863,A00205,SUB00080,2025-10-01,10,5,0.501,103,0.62
U0000864,A00206,SUB00081,2025-06-01,100,55,0.552,1034,0.4
U0000865,A00206,SUB00081,2025-07-01,100,56,0.567,922,0.21
U0000866,A00206,SUB00081,2025-08-01,100,58,0.582,1743,0.42
U0000867,A00206,SUB00081,2025-09-01,100,59,0.597,1555,0.75
U0000868,A00206,SUB00081,2025-10-01,100,61,0.612,2018,0.72
U0000869,A00206,SUB00081,2025-11-01,100,62,0.627,1582,0.28
U0000870,A00206,SUB00081,2025-12-01,100,64,0.642,1387,0.66
U0000871,A00206,SUB00081,2026-01-01,100,65,0.657,1632,0.48
U0000872,A00206,SUB00081,2026-02-01,100,67,0.672,2211,0.47
U0000873,A00206,SUB00081,2026-03-01,100,68,0.687,1338,0.84
U0000874,A00206,SUB00081,2026-04-01,100,70,0.702,1923,0.49
U0000875,A00206,SUB00081,2026-05-01,100,71,0.717,1372,0.36
U0000876,A00207,SUB00082,2025-06-01,250,86,0.347,1945,0.76
U0000877,A00207,SUB00082,2025-07-01,250,92,0.371,939,0.81
U0000878,A00207,SUB00082,2025-08-01,250,83,0.333,2114,0.38
U0000879,A00207,SUB00082,2025-09-01,250,90,0.363,1586,0.25
U0000880,A00207,SUB00082,2025-10-01,250,95,0.382,2069,0.44
U0000881,A00207,SUB00082,2025-11-01,250,76,0.305,1929,0.86
U0000882,A00207,SUB00082,2025-12-01,250,80,0.322,820,0.41
U0000883,A00207,SUB00082,2026-01-01,250,73,0.295,700,0.62
U0000884,A00207,SUB00082,2026-02-01,250,89,0.358,1728,0.32
U0000885,A00207,SUB00082,2026-03-01,250,76,0.308,833,0.2
U0000886,A00207,SUB00082,2026-04-01,250,79,0.318,2007,0.89
U0000887,A00207,SUB00082,2026-05-01,250,87,0.349,1969,0.56
U0000888,A00211,SUB00083,2025-10-01,10,7,0.748,153,0.58
U0000889,A00211,SUB00083,2025-11-01,10,4,0.48,71,0.79
U0000890,A00211,SUB00083,2025-12-01,10,4,0.455,110,0.62
U0000891,A00211,SUB00083,2026-01-01,10,6,0.681,173,0.86
U0000892,A00211,SUB00083,2026-02-01,10,6,0.645,67,0.39
U0000893,A00211,SUB00083,2026-03-01,10,5,0.577,124,0.65
U0000894,A00211,SUB00083,2026-04-01,10,4,0.456,106,0.57
U0000895,A00211,SUB00083,2026-05-01,10,5,0.501,96,0.59
U0000896,A00213,SUB00084,2025-06-01,50,18,0.376,535,0.64
U0000897,A00213,SUB00084,2025-07-01,50,17,0.351,373,0.56
U0000898,A00213,SUB00084,2025-08-01,50,16,0.326,377,0.2
U0000899,A00213,SUB00084,2025-09-01,50,15,0.301,188,0.74
U0000900,A00213,SUB00084,2025-10-01,50,13,0.276,184,0.46
U0000901,A00213,SUB00084,2025-11-01,50,12,0.251,416,0.7
U0000902,A00213,SUB00084,2025-12-01,50,11,0.226,234,0.34
U0000903,A00213,SUB00084,2026-01-01,50,10,0.201,174,0.79
U0000904,A00213,SUB00084,2026-02-01,50,8,0.176,132,0.61
U0000905,A00213,SUB00084,2026-03-01,50,7,0.151,116,0.25
U0000906,A00213,SUB00084,2026-04-01,50,6,0.126,103,0.2
U0000907,A00213,SUB00084,2026-05-01,50,5,0.101,95,0.57
U0000908,A00216,SUB00085,2025-06-01,20,15,0.775,126,0.44
U0000909,A00216,SUB00085,2025-07-01,20,14,0.75,349,0.81
U0000910,A00216,SUB00085,2025-08-01,20,14,0.725,244,0.83
U0000911,A00216,SUB00085,2025-09-01,20,13,0.7,127,0.9
U0000912,A00216,SUB00085,2025-10-01,20,13,0.675,332,0.62
U0000913,A00216,SUB00085,2025-11-01,20,12,0.65,417,0.88
U0000914,A00216,SUB00085,2025-12-01,20,12,0.625,99,0.45
U0000915,A00216,SUB00085,2026-01-01,20,11,0.6,106,0.29
U0000916,A00216,SUB00085,2026-02-01,20,11,0.575,248,0.48
U0000917,A00216,SUB00085,2026-03-01,20,10,0.55,89,0.64
U0000918,A00216,SUB00085,2026-04-01,20,10,0.525,228,0.25
U0000919,A00216,SUB00085,2026-05-01,20,9,0.5,112,0.51
U0000920,A00218,SUB00086,2025-11-01,5,1,0.337,9,0.26
U0000921,A00218,SUB00086,2025-12-01,5,1,0.312,17,0.54
U0000922,A00218,SUB00086,2026-01-01,5,1,0.287,29,0.75
U0000923,A00218,SUB00086,2026-02-01,5,1,0.262,9,0.63
U0000924,A00218,SUB00086,2026-03-01,5,1,0.237,30,0.79
U0000925,A00218,SUB00086,2026-04-01,5,1,0.212,24,0.32
U0000926,A00218,SUB00086,2026-05-01,5,0,0.187,0,0.4
U0000927,A00221,SUB00087,2025-06-01,100,56,0.56,674,0.32
U0000928,A00221,SUB00087,2025-07-01,100,57,0.575,590,0.69
U0000929,A00221,SUB00087,2025-08-01,100,59,0.59,1613,0.7
U0000930,A00221,SUB00087,2025-09-01,100,60,0.605,1912,0.77
U0000931,A00221,SUB00087,2025-10-01,100,62,0.62,654,0.6
U0000932,A00221,SUB00087,2025-11-01,100,63,0.635,1976,0.26
U0000933,A00221,SUB00087,2025-12-01,100,65,0.65,1555,0.2
U0000934,A00221,SUB00087,2026-01-01,100,66,0.665,980,0.65
U0000935,A00221,SUB00087,2026-02-01,100,68,0.68,829,0.25
U0000936,A00221,SUB00087,2026-03-01,100,69,0.695,644,0.25
U0000937,A00221,SUB00087,2026-04-01,100,71,0.71,588,0.22
U0000938,A00221,SUB00087,2026-05-01,100,72,0.725,1882,0.67
U0000939,A00225,SUB00088,2025-09-01,20,12,0.642,389,0.26
U0000940,A00225,SUB00088,2025-10-01,20,13,0.651,435,0.67
U0000941,A00225,SUB00088,2025-11-01,20,14,0.725,253,0.73
U0000942,A00225,SUB00088,2025-12-01,20,14,0.72,264,0.22
U0000943,A00225,SUB00088,2026-01-01,20,14,0.726,289,0.59
U0000944,A00225,SUB00088,2026-02-01,20,13,0.666,158,0.54
U0000945,A00225,SUB00088,2026-03-01,20,13,0.652,355,0.76
U0000946,A00225,SUB00088,2026-04-01,20,13,0.698,426,0.34
U0000947,A00225,SUB00088,2026-05-01,20,14,0.727,164,0.35
U0000948,A00226,SUB00089,2025-06-01,20,10,0.52,122,0.6
U0000949,A00226,SUB00089,2025-07-01,20,10,0.546,346,0.89
U0000950,A00226,SUB00089,2025-08-01,20,10,0.538,239,0.56
U0000951,A00226,SUB00089,2025-09-01,20,11,0.589,269,0.44
U0000952,A00226,SUB00089,2025-10-01,20,11,0.589,151,0.39
U0000953,A00226,SUB00089,2025-11-01,20,10,0.504,148,0.83
U0000954,A00226,SUB00089,2025-12-01,20,11,0.6,182,0.78
U0000955,A00226,SUB00089,2026-01-01,20,11,0.564,253,0.43
U0000956,A00226,SUB00089,2026-02-01,20,11,0.581,193,0.69
U0000957,A00226,SUB00089,2026-03-01,20,10,0.509,268,0.47
U0000958,A00226,SUB00089,2026-04-01,20,10,0.503,345,0.57
U0000959,A00226,SUB00089,2026-05-01,20,11,0.585,188,0.56
U0000960,A00227,SUB00090,2025-06-01,50,19,0.386,585,0.58
U0000961,A00227,SUB00090,2025-07-01,50,16,0.335,226,0.51
U0000962,A00227,SUB00090,2025-08-01,50,18,0.361,522,0.69
U0000963,A00227,SUB00090,2025-09-01,50,18,0.372,464,0.38
U0000964,A00227,SUB00090,2025-10-01,50,20,0.41,506,0.24
U0000965,A00227,SUB00090,2025-11-01,50,16,0.328,510,0.54
U0000966,A00227,SUB00090,2025-12-01,50,16,0.329,283,0.49
U0000967,A00227,SUB00090,2026-01-01,50,19,0.397,295,0.8
U0000968,A00227,SUB00090,2026-02-01,50,20,0.407,427,0.27
U0000969,A00227,SUB00090,2026-03-01,50,18,0.369,199,0.61
U0000970,A00227,SUB00090,2026-04-01,50,20,0.402,342,0.66
U0000971,A00227,SUB00090,2026-05-01,50,20,0.406,281,0.2
U0000972,A00228,SUB00091,2025-06-01,50,17,0.348,478,0.37
U0000973,A00228,SUB00091,2025-07-01,50,18,0.363,160,0.61
U0000974,A00228,SUB00091,2025-08-01,50,18,0.378,619,0.33
U0000975,A00228,SUB00091,2025-09-01,50,19,0.393,489,0.29
U0000976,A00228,SUB00091,2025-10-01,50,20,0.408,324,0.58
U0000977,A00228,SUB00091,2025-11-01,50,21,0.423,362,0.39
U0000978,A00228,SUB00091,2025-12-01,50,21,0.438,524,0.47
U0000979,A00228,SUB00091,2026-01-01,50,22,0.453,258,0.55
U0000980,A00228,SUB00091,2026-02-01,50,23,0.468,429,0.63
U0000981,A00228,SUB00091,2026-03-01,50,24,0.483,304,0.79
U0000982,A00228,SUB00091,2026-04-01,50,24,0.498,447,0.87
U0000983,A00228,SUB00091,2026-05-01,50,25,0.513,783,0.81
U0000984,A00230,SUB00093,2025-06-01,5,2,0.508,52,0.46
U0000985,A00230,SUB00093,2025-07-01,5,2,0.523,47,0.53
U0000986,A00230,SUB00093,2025-08-01,5,2,0.538,19,0.33
U0000987,A00230,SUB00093,2025-09-01,5,2,0.553,52,0.29
U0000988,A00230,SUB00093,2025-10-01,5,2,0.568,16,0.66
U0000989,A00230,SUB00093,2025-11-01,5,2,0.583,47,0.51
U0000990,A00230,SUB00093,2025-12-01,5,2,0.598,47,0.77
U0000991,A00230,SUB00093,2026-01-01,5,3,0.613,37,0.62
U0000992,A00230,SUB00093,2026-02-01,5,3,0.628,24,0.81
U0000993,A00230,SUB00093,2026-03-01,5,3,0.643,56,0.27
U0000994,A00230,SUB00093,2026-04-01,5,3,0.658,51,0.41
U0000995,A00230,SUB00093,2026-05-01,5,3,0.673,68,0.35
U0000996,A00238,SUB00095,2025-09-01,20,9,0.476,99,0.79
U0000997,A00238,SUB00095,2025-10-01,20,8,0.424,226,0.7
U0000998,A00238,SUB00095,2025-11-01,20,7,0.385,202,0.88
U0000999,A00238,SUB00095,2025-12-01,20,7,0.398,218,0.42
U0001000,A00238,SUB00095,2026-01-01,20,8,0.408,187,0.8
U0001001,A00238,SUB00095,2026-02-01,20,8,0.402,171,0.45
U0001002,A00238,SUB00095,2026-03-01,20,9,0.472,177,0.25
U0001003,A00238,SUB00095,2026-04-01,20,9,0.457,226,0.32
U0001004,A00238,SUB00095,2026-05-01,20,8,0.447,179,0.89
U0001005,A00239,SUB00096,2025-06-01,250,124,0.5,4193,0.37
U0001006,A00239,SUB00096,2025-07-01,250,128,0.515,1321,0.28
U0001007,A00239,SUB00096,2025-08-01,250,132,0.53,2364,0.24
U0001008,A00239,SUB00096,2025-09-01,250,136,0.545,4502,0.81
U0001009,A00239,SUB00096,2025-10-01,250,139,0.56,1131,0.73
U0001010,A00239,SUB00096,2025-11-01,250,143,0.575,3844,0.74
U0001011,A00239,SUB00096,2025-12-01,250,147,0.59,1392,0.78
U0001012,A00239,SUB00096,2026-01-01,250,151,0.605,3400,0.78
U0001013,A00239,SUB00096,2026-02-01,250,154,0.62,4718,0.26
U0001014,A00239,SUB00096,2026-03-01,250,158,0.635,4401,0.77
U0001015,A00239,SUB00096,2026-04-01,250,162,0.65,2368,0.65
U0001016,A00239,SUB00096,2026-05-01,250,166,0.665,5246,0.64
U0001017,A00242,SUB00097,2025-06-01,10,4,0.442,102,0.48
U0001018,A00242,SUB00097,2025-07-01,10,4,0.457,34,0.67
U0001019,A00242,SUB00097,2025-08-01,10,4,0.472,101,0.34
U0001020,A00242,SUB00097,2025-09-01,10,4,0.487,57,0.32
U0001021,A00242,SUB00097,2025-10-01,10,5,0.502,76,0.64
U0001022,A00242,SUB00097,2025-11-01,10,5,0.517,142,0.54
U0001023,A00242,SUB00097,2025-12-01,10,5,0.532,171,0.75
U0001024,A00242,SUB00097,2026-01-01,10,5,0.547,123,0.9
U0001025,A00242,SUB00097,2026-02-01,10,5,0.562,66,0.6
U0001026,A00242,SUB00097,2026-03-01,10,5,0.577,168,0.67
U0001027,A00242,SUB00097,2026-04-01,10,5,0.592,59,0.26
U0001028,A00242,SUB00097,2026-05-01,10,6,0.607,117,0.89
U0001029,A00243,SUB00098,2025-09-01,500,410,0.822,9951,0.7
U0001030,A00243,SUB00098,2025-10-01,500,381,0.763,11340,0.58
U0001031,A00243,SUB00098,2025-11-01,500,383,0.767,7145,0.87
U0001032,A00243,SUB00098,2025-12-01,500,380,0.761,6709,0.73
U0001033,A00243,SUB00098,2026-01-01,500,412,0.824,6226,0.27
U0001034,A00243,SUB00098,2026-02-01,500,369,0.74,5350,0.26
U0001035,A00243,SUB00098,2026-03-01,500,382,0.765,6044,0.78
U0001036,A00243,SUB00098,2026-04-01,500,403,0.808,13709,0.56
U0001037,A00243,SUB00098,2026-05-01,500,380,0.76,11640,0.3
U0001038,A00244,SUB00099,2025-06-01,50,17,0.341,559,0.83
U0001039,A00244,SUB00099,2025-07-01,50,17,0.356,331,0.65
U0001040,A00244,SUB00099,2025-08-01,50,18,0.371,289,0.84
U0001041,A00244,SUB00099,2025-09-01,50,19,0.386,307,0.33
U0001042,A00244,SUB00099,2025-10-01,50,20,0.401,313,0.45
U0001043,A00244,SUB00099,2025-11-01,50,20,0.416,317,0.83
U0001044,A00244,SUB00099,2025-12-01,50,21,0.431,530,0.24
U0001045,A00244,SUB00099,2026-01-01,50,22,0.446,524,0.48
U0001046,A00244,SUB00099,2026-02-01,50,23,0.461,220,0.33
U0001047,A00244,SUB00099,2026-03-01,50,23,0.476,266,0.77
U0001048,A00244,SUB00099,2026-04-01,50,24,0.491,445,0.83
U0001049,A00244,SUB00099,2026-05-01,50,25,0.506,858,0.59
U0001050,A00247,SUB00100,2025-06-01,20,10,0.544,348,0.66
U0001051,A00247,SUB00100,2025-07-01,20,11,0.559,338,0.42
U0001052,A00247,SUB00100,2025-08-01,20,11,0.574,238,0.31
U0001053,A00247,SUB00100,2025-09-01,20,11,0.589,91,0.55
U0001054,A00247,SUB00100,2025-10-01,20,12,0.604,258,0.65
U0001055,A00247,SUB00100,2025-11-01,20,12,0.619,255,0.48
U0001056,A00247,SUB00100,2025-12-01,20,12,0.634,157,0.25
U0001057,A00247,SUB00100,2026-01-01,20,12,0.649,398,0.54
U0001058,A00247,SUB00100,2026-02-01,20,13,0.664,410,0.7
U0001059,A00247,SUB00100,2026-03-01,20,13,0.679,452,0.52
U0001060,A00247,SUB00100,2026-04-01,20,13,0.694,262,0.4
U0001061,A00247,SUB00100,2026-05-01,20,14,0.709,336,0.73
U0001062,A00251,SUB00101,2025-06-01,50,27,0.551,474,0.39
U0001063,A00251,SUB00101,2025-07-01,50,28,0.566,427,0.68
U0001064,A00251,SUB00101,2025-08-01,50,29,0.593,521,0.34
U0001065,A00251,SUB00101,2025-09-01,50,36,0.736,1096,0.88
U0001066,A00251,SUB00101,2025-10-01,50,27,0.544,268,0.82
U0001067,A00251,SUB00101,2025-11-01,50,20,0.405,319,0.42
U0001068,A00251,SUB00101,2025-12-01,50,21,0.424,350,0.44
U0001069,A00251,SUB00101,2026-01-01,50,31,0.632,582,0.78
U0001070,A00251,SUB00101,2026-02-01,50,33,0.675,713,0.21
U0001071,A00251,SUB00101,2026-03-01,50,27,0.545,661,0.72
U0001072,A00251,SUB00101,2026-04-01,50,20,0.404,635,0.54
U0001073,A00251,SUB00101,2026-05-01,50,33,0.68,880,0.65
U0001074,A00254,SUB00102,2025-06-01,5,4,0.804,66,0.87
U0001075,A00254,SUB00102,2025-07-01,5,3,0.789,102,0.28
U0001076,A00254,SUB00102,2025-08-01,5,4,0.832,57,0.48
U0001077,A00254,SUB00102,2025-09-01,5,4,0.829,74,0.73
U0001078,A00254,SUB00102,2025-10-01,5,4,0.807,47,0.54
U0001079,A00254,SUB00102,2025-11-01,5,4,0.837,78,0.7
U0001080,A00254,SUB00102,2025-12-01,5,3,0.799,97,0.2
U0001081,A00254,SUB00102,2026-01-01,5,4,0.804,39,0.57
U0001082,A00254,SUB00102,2026-02-01,5,4,0.831,48,0.64
U0001083,A00254,SUB00102,2026-03-01,5,4,0.816,98,0.71
U0001084,A00254,SUB00102,2026-04-01,5,3,0.788,90,0.73
U0001085,A00254,SUB00102,2026-05-01,5,4,0.815,122,0.77
U0001086,A00255,SUB00103,2025-06-01,100,55,0.558,1850,0.72
U0001087,A00255,SUB00103,2025-07-01,100,60,0.608,1811,0.5
U0001088,A00255,SUB00103,2025-08-01,100,57,0.572,1950,0.5
U0001089,A00255,SUB00103,2025-09-01,100,59,0.594,1949,0.31
U0001090,A00255,SUB00103,2025-10-01,100,61,0.616,601,0.75
U0001091,A00255,SUB00103,2025-11-01,100,61,0.62,1267,0.77
U0001092,A00255,SUB00103,2025-12-01,100,56,0.569,1526,0.23
U0001093,A00255,SUB00103,2026-01-01,100,60,0.61,917,0.74
U0001094,A00255,SUB00103,2026-02-01,100,61,0.612,1223,0.2
U0001095,A00255,SUB00103,2026-03-01,100,60,0.603,1192,0.4
U0001096,A00255,SUB00103,2026-04-01,100,60,0.602,1194,0.4
U0001097,A00255,SUB00103,2026-05-01,100,56,0.563,1853,0.84
U0001098,A00256,SUB00104,2026-02-01,250,125,0.502,3847,0.37
U0001099,A00256,SUB00104,2026-03-01,250,93,0.372,2935,0.31
U0001100,A00256,SUB00104,2026-04-01,250,101,0.408,1803,0.79
U0001101,A00256,SUB00104,2026-05-01,250,77,0.312,2281,0.59
U0001102,A00257,SUB00105,2025-06-01,5,1,0.351,8,0.83
U0001103,A00257,SUB00105,2025-07-01,5,1,0.378,31,0.38
U0001104,A00257,SUB00105,2025-08-01,5,1,0.32,16,0.81
U0001105,A00257,SUB00105,2025-09-01,5,1,0.301,10,0.42
U0001106,A00257,SUB00105,2025-10-01,5,1,0.384,17,0.3
U0001107,A00257,SUB00105,2025-11-01,5,1,0.378,12,0.38
U0001108,A00257,SUB00105,2025-12-01,5,1,0.307,31,0.49
U0001109,A00257,SUB00105,2026-01-01,5,1,0.312,11,0.38
U0001110,A00257,SUB00105,2026-02-01,5,1,0.343,17,0.41
U0001111,A00257,SUB00105,2026-03-01,5,1,0.332,24,0.79
U0001112,A00257,SUB00105,2026-04-01,5,1,0.352,34,0.66
U0001113,A00257,SUB00105,2026-05-01,5,1,0.345,18,0.22
U0001114,A00260,SUB00107,2025-07-01,100,82,0.824,2683,0.4
U0001115,A00260,SUB00107,2025-08-01,100,83,0.839,2569,0.38
U0001116,A00260,SUB00107,2025-09-01,100,85,0.854,802,0.82
U0001117,A00260,SUB00107,2025-10-01,100,86,0.869,1456,0.63
U0001118,A00260,SUB00107,2025-11-01,100,88,0.884,2283,0.75
U0001119,A00260,SUB00107,2025-12-01,100,89,0.899,1867,0.58
U0001120,A00260,SUB00107,2026-01-01,100,91,0.914,3038,0.76
U0001121,A00260,SUB00107,2026-02-01,100,92,0.929,1057,0.52
U0001122,A00260,SUB00107,2026-03-01,100,94,0.944,1980,0.56
U0001123,A00260,SUB00107,2026-04-01,100,95,0.959,1303,0.28
U0001124,A00260,SUB00107,2026-05-01,100,97,0.974,2646,0.37
U0001125,A00260,SUB00107,2026-06-01,100,98,0.98,1657,0.36
U0001126,A00260,SUB00107,2026-07-01,100,98,0.98,2705,0.58
U0001127,A00260,SUB00107,2026-08-01,100,98,0.98,909,0.62
U0001128,A00260,SUB00107,2026-09-01,100,98,0.98,2196,0.55
U0001129,A00260,SUB00107,2026-10-01,100,98,0.98,1676,0.89
U0001130,A00260,SUB00107,2026-11-01,100,98,0.98,1209,0.73
U0001131,A00260,SUB00107,2026-12-01,100,98,0.98,2588,0.7
U0001132,A00260,SUB00107,2027-01-01,100,98,0.98,3424,0.84
U0001133,A00260,SUB00107,2027-02-01,100,98,0.98,2488,0.89
U0001134,A00260,SUB00107,2027-03-01,100,98,0.98,1966,0.61
U0001135,A00260,SUB00107,2027-04-01,100,98,0.98,1841,0.51
U0001136,A00260,SUB00107,2027-05-01,100,98,0.98,1960,0.78
U0001137,A00260,SUB00107,2027-06-01,100,98,0.98,2242,0.54
U0001138,A00266,SUB00108,2025-06-01,5,1,0.346,12,0.43
U0001139,A00266,SUB00108,2025-07-01,5,1,0.372,11,0.63
U0001140,A00266,SUB00108,2025-08-01,5,1,0.374,21,0.8
U0001141,A00266,SUB00108,2025-09-01,5,1,0.399,20,0.35
U0001142,A00266,SUB00108,2025-10-01,5,1,0.336,12,0.51
U0001143,A00266,SUB00108,2025-11-01,5,1,0.373,18,0.64
U0001144,A00266,SUB00108,2025-12-01,5,2,0.404,18,0.71
U0001145,A00266,SUB00108,2026-01-01,5,1,0.393,25,0.87
U0001146,A00266,SUB00108,2026-02-01,5,2,0.413,68,0.9
U0001147,A00266,SUB00108,2026-03-01,5,1,0.392,30,0.8
U0001148,A00266,SUB00108,2026-04-01,5,1,0.329,21,0.27
U0001149,A00266,SUB00108,2026-05-01,5,1,0.373,15,0.6
U0001150,A00271,SUB00109,2025-08-01,50,23,0.466,585,0.7
U0001151,A00271,SUB00109,2025-09-01,50,24,0.481,529,0.32
U0001152,A00271,SUB00109,2025-10-01,50,24,0.496,629,0.82
U0001153,A00271,SUB00109,2025-11-01,50,25,0.511,475,0.75
U0001154,A00271,SUB00109,2025-12-01,50,26,0.526,424,0.5
U0001155,A00271,SUB00109,2026-01-01,50,27,0.541,227,0.35
U0001156,A00271,SUB00109,2026-02-01,50,27,0.556,524,0.38
U0001157,A00271,SUB00109,2026-03-01,50,28,0.571,403,0.83
U0001158,A00271,SUB00109,2026-04-01,50,29,0.586,766,0.75
U0001159,A00271,SUB00109,2026-05-01,50,30,0.601,802,0.67
U0001160,A00274,SUB00111,2025-06-01,5,2,0.517,63,0.26
U0001161,A00274,SUB00111,2025-07-01,5,2,0.532,51,0.72
U0001162,A00274,SUB00111,2025-08-01,5,2,0.547,52,0.72
U0001163,A00274,SUB00111,2025-09-01,5,2,0.562,68,0.44
U0001164,A00274,SUB00111,2025-10-01,5,2,0.577,29,0.32
U0001165,A00274,SUB00111,2025-11-01,5,2,0.592,53,0.27
U0001166,A00274,SUB00111,2025-12-01,5,3,0.607,35,0.67
U0001167,A00274,SUB00111,2026-01-01,5,3,0.622,79,0.67
U0001168,A00274,SUB00111,2026-02-01,5,3,0.637,43,0.24
U0001169,A00274,SUB00111,2026-03-01,5,3,0.652,79,0.89
U0001170,A00274,SUB00111,2026-04-01,5,3,0.667,103,0.81
U0001171,A00274,SUB00111,2026-05-01,5,3,0.682,46,0.31
U0001172,A00277,SUB00112,2025-06-01,20,16,0.827,403,0.6
U0001173,A00277,SUB00112,2025-07-01,20,16,0.842,460,0.41
U0001174,A00277,SUB00112,2025-08-01,20,17,0.857,443,0.78
U0001175,A00277,SUB00112,2025-09-01,20,17,0.872,297,0.46
U0001176,A00277,SUB00112,2025-10-01,20,17,0.887,292,0.57
U0001177,A00277,SUB00112,2025-11-01,20,18,0.902,461,0.28
U0001178,A00277,SUB00112,2025-12-01,20,18,0.917,547,0.57
U0001179,A00277,SUB00112,2026-01-01,20,18,0.932,305,0.26
U0001180,A00277,SUB00112,2026-02-01,20,18,0.947,260,0.89
U0001181,A00277,SUB00112,2026-03-01,20,19,0.962,389,0.44
U0001182,A00277,SUB00112,2026-04-01,20,19,0.977,333,0.67
U0001183,A00277,SUB00112,2026-05-01,20,19,0.98,476,0.81
U0001184,A00279,SUB00113,2025-06-01,5,4,0.802,60,0.42
U0001185,A00279,SUB00113,2025-07-01,5,3,0.777,71,0.34
U0001186,A00279,SUB00113,2025-08-01,5,3,0.752,102,0.82
U0001187,A00279,SUB00113,2025-09-01,5,3,0.727,52,0.57
U0001188,A00279,SUB00113,2025-10-01,5,3,0.702,25,0.69
U0001189,A00279,SUB00113,2025-11-01,5,3,0.677,88,0.89
U0001190,A00279,SUB00113,2025-12-01,5,3,0.652,32,0.25
U0001191,A00279,SUB00113,2026-01-01,5,3,0.627,84,0.64
U0001192,A00279,SUB00113,2026-02-01,5,3,0.602,40,0.54
U0001193,A00279,SUB00113,2026-03-01,5,2,0.577,50,0.79
U0001194,A00279,SUB00113,2026-04-01,5,2,0.552,40,0.21
U0001195,A00279,SUB00113,2026-05-01,5,2,0.527,42,0.6
U0001196,A00282,SUB00114,2025-10-01,250,135,0.541,1988,0.44
U0001197,A00282,SUB00114,2025-11-01,250,128,0.516,4066,0.84
U0001198,A00282,SUB00114,2025-12-01,250,122,0.491,1859,0.37
U0001199,A00282,SUB00114,2026-01-01,250,116,0.466,3299,0.58
U0001200,A00282,SUB00114,2026-02-01,250,110,0.441,2657,0.54
U0001201,A00282,SUB00114,2026-03-01,250,103,0.416,1361,0.29
U0001202,A00282,SUB00114,2026-04-01,250,97,0.391,2815,0.83
U0001203,A00282,SUB00114,2026-05-01,250,91,0.366,2566,0.69
U0001204,A00285,SUB00115,2025-10-01,10,4,0.402,135,0.69
U0001205,A00285,SUB00115,2025-11-01,10,4,0.417,133,0.39
U0001206,A00285,SUB00115,2025-12-01,10,4,0.432,52,0.81
U0001207,A00285,SUB00115,2026-01-01,10,4,0.447,47,0.67
U0001208,A00285,SUB00115,2026-02-01,10,4,0.462,84,0.23
U0001209,A00285,SUB00115,2026-03-01,10,4,0.477,128,0.61
U0001210,A00285,SUB00115,2026-04-01,10,4,0.492,108,0.68
U0001211,A00285,SUB00115,2026-05-01,10,5,0.507,100,0.58
U0001212,A00285,SUB00115,2026-06-01,10,5,0.522,55,0.28
U0001213,A00285,SUB00115,2026-07-01,10,5,0.537,136,0.67
U0001214,A00285,SUB00115,2026-08-01,10,5,0.552,133,0.45
U0001215,A00288,SUB00116,2026-03-01,100,66,0.664,2258,0.51
U0001216,A00288,SUB00116,2026-04-01,100,67,0.679,1398,0.34
U0001217,A00288,SUB00116,2026-05-01,100,69,0.694,722,0.27
U0001218,A00288,SUB00116,2026-06-01,100,70,0.709,1920,0.34
U0001219,A00288,SUB00116,2026-07-01,100,72,0.724,707,0.53
U0001220,A00288,SUB00116,2026-08-01,100,73,0.739,731,0.24
U0001221,A00288,SUB00116,2026-09-01,100,75,0.754,1345,0.53
U0001222,A00288,SUB00116,2026-10-01,100,76,0.769,2425,0.45
U0001223,A00288,SUB00116,2026-11-01,100,78,0.784,1963,0.2
U0001224,A00288,SUB00116,2026-12-01,100,79,0.799,1317,0.44
U0001225,A00288,SUB00116,2027-01-01,100,81,0.814,1337,0.76
